,resource,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Units
0,gas_harbor,246.055055155535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
1,gas_ct,171.93305327039226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
2,ci_shed_nonwatersystem,8.939370950897938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.46062904910206,MW
3,utility_solar_outofbasin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
4,solar_rooftop_ci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.68018056279237,MW
5,solar_rooftop_residentialSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
6,solar_rooftop_residentialMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
7,FCZ7.Commercial.College.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
8,FCZ7.Commercial.Food.Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
9,FCZ7.Commercial.Health Care.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
10,FCZ7.Commercial.Hotel.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
11,FCZ7.Commercial.Miscellaneous.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
12,FCZ7.Commercial.Office.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
13,FCZ7.Commercial.Office.Ventilation,0.033524275,0.030301115999999996,0.027337645999999993,0.09164776300000002,0.08811245200000001,0.08383397899999998,0.102139634,0.0977953439999999,0.09527953400000014,0.09208210200000008,MW
14,FCZ7.Commercial.Restaurant.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
15,FCZ7.Commercial.Restaurant.Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
16,FCZ7.Commercial.Retail.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
17,FCZ7.Commercial.School.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
18,FCZ7.Commercial.Warehouse.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
19,FCZ7.Residential.MULTIFAMILY.CoolingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
20,FCZ7.Residential.MULTIFAMILY.Refrigerator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
21,FCZ7.Residential.MULTIFAMILY.ResLightingEff,0.49591227299999996,0.23592471400000004,0.13361475099999998,0.0,0.273259948,0.0,0.3900750780000003,0.0,0.0,0.4526748629999996,MW
22,FCZ7.Residential.SINGLEFAMILY.CoolingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
23,FCZ7.Residential.SINGLEFAMILY.Refrigerator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
24,FCZ7.Residential.SINGLEFAMILY.ResLightingEff,0.82146319,0.3908019199999999,0.2213286619999999,0.0,0.4526465690000001,0.0,0.6461471830000003,0.0,0.0,0.7498417720000001,MW
25,storage_utility_2hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
26,storage_utility_4hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
27,storage_utility_6hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
28,storage_residentialSF_4hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
29,storage_residentialMF_4hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
30,storage_ci_4hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
31,diesel_genset_replacement_storage_4hr,10.504285714285686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.22371712772065,MW
